ADAIR	0.559888206282252
ADAMS	0.532277069090136
ALLAMAKEE	0.5048786748419903
APPANOOSE	0.47076392905470554
AUDUBON	0.8550108628023578
Adair	0.5740848742260751
BENTON	0.47396486279137773
BLACK HAWK	0.44867332399605614
BOONE	0.46163112755108915
BREMER	0.5309947606493081
BUCHANAN	0.5031696217874164
BUENA VIST	0.5366831437794712
BUTLER	0.49332411585951064
Black Hawk	0.37405119658708574
Boone	0.6372167158839104
Buchanan	0.5781765008679456
Butler	0.5637327136325946
CALHOUN	0.5679461251981933
CARROLL	0.5820599584711315
CASS	0.5475705460120216
CEDAR	0.5379946264944621
CERRO GORD	0.5991119956203433
CHEROKEE	0.45049999768667126
CHICKASAW	0.766967581580738
CLARKE	0.5300730825870307
CLAY	0.5473459615192356
CLAYTON	0.5048237549838442
CLINTON	0.4342000566801046
CRAWFORD	0.5879481843145482
Cerro Gord	0.5980761866187867
Clayton	0.34488618982692953
DALLAS	0.6066109208355306
DAVIS	0.5393409677767822
DECATUR	0.5340621374543195
DELAWARE	0.6422787755990318
DES MOINES	0.43175768571016765
DICKINSON	0.5297931295904843
DUBUQUE	0.5261777359952363
Dallas	9.761610895123525
Delaware	0.38588141560033873
Des Moines	0.3489095700875004
Dickinson	0.3990931937973055
EMMET	0.4793347602008924
FAYETTE	0.5629877361482871
FLOYD	0.5105308772993621
FRANKLIN	0.5679418485919505
FREMONT	0.48769230055503354
Fayette	0.43820689659694145
GREENE	0.5931006434425969
GRUNDY	0.6961457753694406
GUTHRIE	0.48223172930155717
HAMILTON	0.6749853820921625
HANCOCK	0.5445069423436911
HARDIN	0.5241110082303884
HARRISON	0.5259296333620939
HENRY	0.41002826174503504
HOWARD	0.5732491465725631
HUMBOLDT	0.5656423390622145
Hancock	0.6152884479110631
Hardin	0.4963277697970183
Harrison	0.4627026979685635
Henry	0.4691359787419565
IDA	0.49723738433471193
IOWA	0.5400700696737227
Iowa	0.33932663833340704
JACKSON	0.5238368597850608
JASPER	0.47048890820605727
JEFFERSON	0.4835856423562093
JOHNSON	0.5271501743514461
JONES	0.4966639238621675
Jackson	0.5723728817587687
Jasper	0.3652458959182755
KEOKUK	0.5974472507011832
KOSSUTH	0.4979078629279138
Kossuth	0.5739514347963512
LEE	0.4698712086558886
LINN	0.5340574491298445
LOUISA	0.5820776595743101
LUCAS	0.41277830826115014
LYON	0.47426562945182843
Linn	0.40207275557654787
MADISON	0.4742261181929512
MAHASKA	0.3924576040301504
MARION	0.4744587936077163
MARSHALL	0.47576318541693513
MILLS	0.3911464560837323
MITCHELL	0.43248946271545696
MONONA	0.4932274856503117
MONROE	0.4226768907200853
MONTGOMERY	0.4447808878137677
MUSCATINE	0.4601793187910439
Madison	0.47393442910225664
Marion	0.4207784376161065
Marshall	0.3653999971598387
Mitchell	0.6644993285401084
OBRIEN	0.5115463014573425
OSCEOLA	0.468606489546072
PAGE	0.4255605444358323
PALO ALTO	0.598675322043528
PLYMOUTH	0.5114330257848254
POCAHONTAS	0.5887579022177836
POLK	0.5192924644093203
POTTAWATTA	0.5701315870220565
POWESHIEK	0.5174759332076274
Plymouth	0.6104783563023954
Polk	0.6032807829801415
Pottawatta	0.4837254932990261
Poweshiek	0.6248275812329918
RINGGOLD	0.5591964267493624
SAC	0.5624499792581579
SCOTT	0.4888567927393161
SHELBY	0.5781076334573704
SIOUX	0.5780527792585637
STORY	0.5314000447508123
Scott	0.4500200141060937
TAMA	0.5102581004405311
TAYLOR	0.4855903536081314
UNION	0.5923185803971045
VAN BUREN	0.665082645040652
WAPELLO	0.4515061300020761
WARREN	0.4929514463186537
WASHINGTON	0.49899720153963617
WAYNE	0.5085761583447209
WEBSTER	0.5233670052728233
WINNEBAGO	0.44324766256061887
WINNESHIEK	0.43010925392542193
WOODBURY	0.49813150725337135
WORTH	0.563845101864148
WRIGHT	0.5091089418815161
Wapello	0.4443621485941157
Webster	0.3632289392744909
